woningREG woningBACK woningHOUSE burgstat toeslag original b1 b2 b3 b4 b5
1 1 1 1 1 180 172 185 193 183 168
1 1 1 1 2 57 57 58 74 57 54
1 1 1 1 . 54 48 51 44 53 44
1 1 1 2 1 306 283 292 285 286 324
1 1 1 2 2 164 174 162 163 144 183
1 1 1 2 . 131 124 131 111 134 131
1 1 2 1 . 2 4 2 2 2 1
1 1 2 2 . 8 9 9 7 11 11
1 2 1 1 1 4 5 0 3 3 2
1 2 1 1 2 1 4 1 0 1 2
1 2 1 1 . 7 8 5 6 5 7
1 2 1 2 1 8 10 7 15 9 9
1 2 1 2 2 5 5 6 3 5 3
1 2 1 2 . 20 21 18 14 17 21
1 2 2 1 . 53 59 53 49 50 52
1 2 2 2 . 57 69 66 60 65 55
1 . 1 1 . 1 1 1 0 1 3
1 . 1 2 1 4 6 9 2 2 5
1 . 1 2 2 3 0 5 5 3 2
1 . 1 2 . 4 4 6 3 3 2
2 1 1 1 1 4 5 2 3 8 4
2 1 1 1 . 1 0 0 0 1 0
2 1 1 2 1 29 26 31 26 30 29
2 1 1 2 2 2 1 1 3 2 3
2 1 1 2 . 5 3 6 7 8 3
2 1 2 1 . 2 2 1 2 1 1
2 1 2 2 . 5 4 3 4 4 5
2 2 1 1 1 3 2 4 2 1 5
2 2 1 1 2 1 0 0 0 0 3
2 2 1 1 . 10 7 10 9 10 14
2 2 1 2 1 7 5 7 7 5 8
2 2 1 2 2 1 1 1 0 0 3
2 2 1 2 . 47 44 50 37 49 51
2 2 2 1 . 1209 1240 1260 1225 1205 1215
2 2 2 2 . 613 604 563 643 650 583
2 2 . 1 . 1 0 3 1 2 0
2 . 1 1 . 1 2 1 1 1 1
2 . 2 2 . 1 2 1 2 0 4
